url,address,price,price_nzd
https://www.anytimefitness.co.nz/gyms/nz-1001,"87 Main Highway Ellerslie, Auckland, North Island 1051",Memberships starting at $16.99 per week,16.99
https://www.anytimefitness.co.nz/gyms/nz-1002,"55 Riccarton Road Riccarton, Christchurch, South Island 8011",Memberships starting at $15.90 per week,15.9
https://www.anytimefitness.co.nz/gyms/nz-1003,"19 Clarence Street City, Hamilton North Island 3204","
Memberships starting at $17.50 per week

Try Us For Free ",17.5
https://www.anytimefitness.co.nz/gyms/nz-1004,"6 Avalon Drive Nawton Avalon, Hamilton North Island 3200","
Memberships starting at $17.50 per week

Try Us For Free ",17.5
https://www.anytimefitness.co.nz/gyms/nz-1005,"6 St James Shopping Centre Rototuna Rototuna, Hamilton North Island 3210","
Memberships starting at $17.50 per week

Try Us For Free ",17.5
https://www.anytimefitness.co.nz/gyms/nz-1006,"44 Pollen Street Ponsonby, Auckland, North Island 1011",Memberships starting at $16.50 per week,16.5
https://www.anytimefitness.co.nz/gyms/nz-1007,"3/53 Alpha St Cambridge, North Island 3432",Memberships starting at $16.50 per week,16.5
https://www.anytimefitness.co.nz/gyms/nz-1009,"93-95 Walton Street Whangarei, North Island 0110",Memberships starting at $16.90 per week,16.9
https://www.anytimefitness.co.nz/gyms/nz-1010,"240 Colombo Street Cashmere Cashmere, Christchurch South Island 8022","
Memberships starting at $17.90 per week

Try Us For Free ",17.9
https://www.anytimefitness.co.nz/gyms/nz-1011,"Homebase Centre, Unit G Marshlands Road, ShirleyShirley, Christchurch, South Island 8083",Memberships starting at $15 per week,15
https://www.anytimefitness.co.nz/gyms/nz-1012,"12 Inverness Road Browns Bay, Auckland, North Island 0630",Memberships starting at $15.99 per week,15.99
https://www.anytimefitness.co.nz/gyms/nz-1013,65 Chapel Street Tauranga North Island 3110,"
Memberships starting at $16.90 per week

Try Us For Free ",16.9
https://www.anytimefitness.co.nz/gyms/nz-1014,"279/B Te Ngae Road Rotorua, North Island 3010",Memberships starting at $15 per week,15
https://www.anytimefitness.co.nz/gyms/nz-1015,"92 MacAndrew Road Dunedin, South Island 9012",Memberships starting at $17.95 per week,17.95
https://www.anytimefitness.co.nz/gyms/nz-1016,"25 Constellation Drive North ShoreAuckland, North Island 0632",Memberships starting at $17 per week,17
